gene_name,1,5,2,4,3,0,9,6,8,7,10
AL627309.1,0.0066563636,0.025596332,0.0,0.0,0.0,0.019356452,0.012485941,0.0,0.01804974,0.0,0.0
AL627309.5,0.018018737,0.0,0.006603766,0.016919814,0.024014056,0.08315275,0.059518944,0.0,0.09386202,0.0,0.0
AL627309.4,0.0,0.0060079386,0.0,0.0,0.0,0.026589792,0.0023847935,0.0,0.02173147,0.0,0.0
AL669831.2,0.009072531,0.0,0.0044871112,0.0,0.013659428,0.0,0.0,0.0101632625,0.0,0.0,0.0
LINC01409,0.10881398,0.13443682,0.12637317,0.12740566,0.1434199,0.16702223,0.16775051,0.09966455,0.10609684,0.0,0.053153675
LINC01128,0.07083627,0.037399672,0.08026468,0.037103772,0.08642259,0.04615228,0.042484157,0.03383004,0.04787851,0.0,0.0
LINC00115,0.029243518,0.021600584,0.032805074,0.015761718,0.018315092,0.033897903,0.07216242,0.0,0.044933964,0.0,0.0
FAM41C,0.0018502569,0.0,0.0,0.0,0.0,0.008190651,0.023266762,0.0,0.008720915,0.0,0.0
AL645608.6,0.0,0.0,0.0,0.016617483,0.0,0.0050303917,0.0,0.0,0.0069118175,0.0,0.0
SAMD11,0.009337744,0.0,0.0049941866,0.0063962066,0.0,0.0,0.0,0.0,0.025763705,0.0,0.0
NOC2L,0.105256714,0.09152914,0.08659071,0.1106193,0.09434224,0.12064972,0.11076662,0.07234706,0.13176785,0.0,0.0
KLHL17,0.006389645,0.0,0.010117732,0.025345992,0.003968247,0.01038311,0.017897816,0.027684834,0.016978014,0.0,0.0
PLEKHN1,0.0,0.0,0.0,0.0,0.0,0.005344216,0.004872439,0.01308168,0.0,0.0,0.0
HES4,0.0061784964,0.0,0.0,0.01434028,0.0,0.0019363764,0.009347495,0.0,0.2336698,0.0,0.0
ISG15,0.037637863,0.13511258,0.12169415,0.10423463,0.03479152,0.04898977,0.054821894,0.12739547,0.13901217,0.0,0.0
AGRN,0.010430786,0.0,0.0,0.008317541,0.0,0.0,0.013238821,0.0,0.009585466,0.0,0.0
